Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-0,00107401586137712;931,0849609375;20,0576171875;
2;-0,990000009536743;-0,000559948326554149;1768,02026367188;40,17578125;
3;-0,980000019073486;-0,000461873190943152;2121,79443359375;50,24609375;
4;-0,970000028610229;-0,00039199210004881;2474,53979492188;60,31640625;
5;-0,959999978542328;-0,000342324434313923;2804,35717773438;70,3837890625;
6;-0,949999988079071;-0,00030372163746506;3127,86401367188;80,4541015625;
7;-0,939999997615814;-0,000272488628979772;3449,68530273438;90,525390625;
8;-0,930000007152557;-0,000246533600147814;3772,30541992188;100,5947265625;
9;-0,920000016689301;-0,000224327101022936;4101,154296875;110,6640625;
10;-0,910000026226044;-0,000205089643714018;4437,08447265625;120,732421875;
11;-0,899999976158142;-0,000188224599696696;4781,521484375;130,8017578125;
12;-0,889999985694885;-0,000173093692865223;5141,72412109375;140,8701171875;
13;-0,879999995231628;-0,0001594360510353;5519,4541015625;150,9404296875;
14;-0,870000004768372;-0,000147086306242272;5914,89453125;161,009765625;
15;-0,860000014305115;-0,000135777940158732;6333,87158203125;171,080078125;
16;-0,850000023841858;-0,000125408914755099;6777,82763671875;181,1494140625;
17;-0,839999973773956;-0,000115896371426061;7247,85400390625;191,21875;
18;-0,829999983310699;-0,000107049738289788;7753,4052734375;201,2880859375;
19;-0,819999992847443;-0,000100805882539134;8134,44580078125;221,4072265625;
20;-0,810000002384186;-9,1601388703566E-05;8842,6611328125;231,4765625;
21;-0,800000011920929;-8,41083165141754E-05;9511,544921875;241,546875;
22;-0,790000021457672;-7,73496067267843E-05;10213,3681640625;251,6171875;
23;-0,779999971389771;-7,11935936124064E-05;10956,0419921875;261,685546875;
24;-0,769999980926514;-6,54857867630199E-05;11758,2763671875;271,7548828125;
25;-0,759999990463257;-6,02181389695033E-05;12620,7822265625;281,826171875;
26;-0,75;-5,53507707081735E-05;13549,947265625;291,89453125;
27;-0,740000009536743;-5,08230223204009E-05;14560,3310546875;301,9658203125;
28;-0,730000019073486;-4,66458404844161E-05;15649,841796875;312,03515625;
29;-0,720000028610229;-4,28046805609483E-05;16820,591796875;322,103515625;
30;-0,709999978542328;-3,92298825317994E-05;18098,447265625;332,1708984375;
31;-0,699999988079071;-3,59363475581631E-05;19478,884765625;342,2412109375;
32;-0,689999997615814;-3,29290160152595E-05;20954,1640625;352,3115234375;
33;-0,680000007152557;-3,01164745906135E-05;22579,00390625;362,380859375;
34;-0,670000016689301;-2,75313323072623E-05;24335,91015625;372,44921875;
35;-0,660000026226044;-2,517519351386E-05;26216,283203125;382,517578125;
36;-0,649999976158142;-2,29706001846353E-05;28297,0390625;392,5859375;
37;-0,639999985694885;-2,09553181775846E-05;30541,171875;402,6552734375;
38;-0,629999995231628;-1,90989194379654E-05;32986,16015625;412,7236328125;
39;-0,620000004768372;-1,73710614035372E-05;35691,54296875;422,7900390625;
40;-0,610000014305115;-1,57589274749625E-05;38708,21875;432,859375;
41;-0,600000023841858;-1,42964236147236E-05;41968,5390625;442,9296875;
42;-0,589999973773956;-1,29236268548993E-05;45652,81640625;452,9970703125;
43;-0,579999983310699;-1,16504379548132E-05;49783,53515625;463,0654296875;
44;-0,569999992847443;-1,04942801044672E-05;54315,30078125;473,1337890625;
45;-0,560000002384186;-1,26675913634244E-05;44207,30078125;513,3681640625;
46;-0,550000011920929;-1,20081140266848E-05;45802,36328125;553,603515625;
47;-0,540000021457672;-1,11515928438166E-05;48423,578125;593,826171875;
48;-0,529999971389771;-9,73777332546888E-06;54427,22265625;613,9453125;
49;-0,519999980926514;-5,01349632031634E-06;103720,03125;624,0009765625;
50;-0,509999990463257;-2,00510271497478E-06;254351,0625;634,052734375;
51;-0,5;1,38656253056979E-06;-360604;644,103515625;
52;-0,490000009536743;7,01734506947105E-06;-69826,9765625;654,15234375;
53;-0,479999989271164;-5,58062356503797E-06;86011,890625;684,3017578125;
54;-0,469999998807907;-5,00765281685744E-06;93856,34375;704,419921875;
55;-0,46000000834465;4,16328384744702E-06;-110489,703125;714,4677734375;
56;-0,449999988079071;-4,12301551477867E-06;109143,4140625;744,6162109375;
57;-0,439999997615814;-3,55946781382954E-06;123613,984375;764,7333984375;
58;-0,430000007152557;-3,46496744896285E-06;124099,2890625;794,880859375;
59;-0,419999986886978;-2,83362987829605E-06;148219,78125;814,9990234375;
60;-0,409999996423721;-2,70925397671817E-06;151333,171875;845,1474609375;
61;-0,400000005960464;-2,7922708341066E-06;143252,578125;885,3876953125;
62;-0,389999985694885;-2,24532209358586E-06;173694,453125;915,53515625;
63;-0,379999995231628;-2,23010783884092E-06;170395,34375;955,7666015625;
64;-0,370000004768372;-1,65787776040816E-06;223176,890625;985,916015625;
65;-0,360000014305115;-1,65940298302303E-06;216945,5;1026,134765625;
